File path,File name,ROI number,Area in um2,Number of GFP puncta in the ROI,Number of GFP puncta per 10 um2,Number of RFP puncta in the ROI,Number of RFP puncta per 10 um2,GFP to RFP puncta ratio,RFP to GFP puncta ratio
C:\Users\Alyona\Desktop\Demo\1_1.czi,1_1,1,200.145,2,0.100,22,1.099,0.091,11.000
C:\Users\Alyona\Desktop\Demo\1_1.czi,1_1,2,200.145,2,0.100,13,0.650,0.154,6.500
C:\Users\Alyona\Desktop\Demo\1_1.czi,1_1,3,235.699,2,0.085,12,0.509,0.167,6.000
C:\Users\Alyona\Desktop\Demo\1_1.czi,1_1,4,255.074,1,0.039,14,0.549,0.071,14.000
C:\Users\Alyona\Desktop\Demo\1_1.czi,1_1,5,228.165,2,0.088,20,0.877,0.100,10.000
C:\Users\Alyona\Desktop\Demo\1_2.czi,1_2,1,200.145,22,1.099,15,0.749,1.467,0.682
C:\Users\Alyona\Desktop\Demo\1_2.czi,1_2,2,200.145,20,0.999,18,0.899,1.111,0.900
C:\Users\Alyona\Desktop\Demo\1_2.czi,1_2,3,182.132,23,1.263,17,0.933,1.353,0.739
C:\Users\Alyona\Desktop\Demo\1_2.czi,1_2,4,183.800,19,1.034,16,0.871,1.188,0.842
C:\Users\Alyona\Desktop\Demo\1_2.czi,1_2,5,193.696,22,1.136,13,0.671,1.692,0.591
