File path,File name,ROI number,Area in um2,Number of GFP puncta in the ROI,Number of GFP puncta per 10 um2,Number of RFP puncta in the ROI,Number of RFP puncta per 10 um2,Number of RFP puncta colocalizing with GFP,Number of colocalizing puncta per 10 um2 
C:\Users\Alyona\Desktop\Demo\1_1.czi,1_1,1,200.145,2,0.100,2,0.100,2,0.010
C:\Users\Alyona\Desktop\Demo\1_1.czi,1_1,2,200.145,2,0.100,2,0.100,2,0.010
C:\Users\Alyona\Desktop\Demo\1_1.czi,1_1,3,235.699,2,0.085,2,0.085,2,0.008
C:\Users\Alyona\Desktop\Demo\1_1.czi,1_1,4,255.074,1,0.039,1,0.039,0,0.000
C:\Users\Alyona\Desktop\Demo\1_1.czi,1_1,5,228.165,2,0.088,2,0.088,2,0.009
C:\Users\Alyona\Desktop\Demo\1_2.czi,1_2,1,200.145,22,1.099,22,1.099,12,0.060
C:\Users\Alyona\Desktop\Demo\1_2.czi,1_2,2,200.145,21,1.049,21,1.049,14,0.070
C:\Users\Alyona\Desktop\Demo\1_2.czi,1_2,3,182.132,23,1.263,23,1.263,12,0.066
C:\Users\Alyona\Desktop\Demo\1_2.czi,1_2,4,183.800,19,1.034,19,1.034,8,0.044
C:\Users\Alyona\Desktop\Demo\1_2.czi,1_2,5,193.696,22,1.136,22,1.136,12,0.062
